home,score,away,year
Germany ,4–2, Costa Rica,2006
Poland ,0–2, Ecuador,2006
Germany ,1–0, Poland,2006
Ecuador ,3–0, Costa Rica,2006
Ecuador ,0–3, Germany,2006
Costa Rica ,1–2, Poland,2006
England ,1–0, Paraguay,2006
Trinidad and Tobago ,0–0, Sweden,2006
England ,2–0, Trinidad and Tobago,2006
Sweden ,1–0, Paraguay,2006
Sweden ,2–2, England,2006
Paraguay ,2–0, Trinidad and Tobago,2006
Argentina ,2–1, Ivory Coast,2006
Serbia and Montenegro ,0–1, Netherlands,2006
Argentina ,6–0, Serbia and Montenegro,2006
Netherlands ,2–1, Ivory Coast,2006
Netherlands ,0–0, Argentina,2006
Ivory Coast ,3–2, Serbia and Montenegro,2006
Mexico ,3–1, Iran,2006
Angola ,0–1, Portugal,2006
Mexico ,0–0, Angola,2006
Portugal ,2–0, Iran,2006
Portugal ,2–1, Mexico,2006
Iran ,1–1, Angola,2006
United States ,0–3, Czech Republic,2006
Italy ,2–0, Ghana,2006
Czech Republic ,0–2, Ghana,2006
Italy ,1–1, United States,2006
Czech Republic ,0–2, Italy,2006
Ghana ,2–1, United States,2006
Australia ,3–1, Japan,2006
Brazil ,1–0, Croatia,2006
Japan ,0–0, Croatia,2006
Brazil ,2–0, Australia,2006
Japan ,1–4, Brazil,2006
Croatia ,2–2, Australia,2006
South Korea ,2–1, Togo,2006
France ,0–0, Switzerland,2006
France ,1–1, South Korea,2006
Togo ,0–2, Switzerland,2006
Togo ,0–2, France,2006
Switzerland ,2–0, South Korea,2006
Spain ,4–0, Ukraine,2006
Tunisia ,2–2, Saudi Arabia,2006
Saudi Arabia ,0–4, Ukraine,2006
Spain ,3–1, Tunisia,2006
Saudi Arabia ,0–1, Spain,2006
Ukraine ,1–0, Tunisia,2006
